CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
BUSA 450  A,QUALITY MGM,QUALITY MANAGEMENT,9:00:00,9:50:00,MWF,HAL,312,40,40
BUSA 460  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
BUSA 460  B,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
BUSA 462  A,MULTINAT'L FIN,MULTINATIONAL FINANCIAL MANAGEMENT,14:00:00,14:50:00,MWF,HAL,312,6,7
BUSA 462  B,MULTINAT'L FIN,MULTINATIONAL FINANCIAL MANAGEMENT,15:00:00,15:50:00,MWF,HAL,312,4,4
BUSA 464  A,SIX SIGMA MGT,SIX SIGMA MANAGEMENT,10:05:00,11:20:00,TR,HAL,309,28,33
BUSA 475  A,LEADERSHIP,LEADERSHIP,15:00:00,15:50:00,MWF,HAL,302,27,32
CHEM 102  A,GEN CHEM II,GENERAL CHEMISTRY II,10:00:00,10:50:00,MWF,STEM,51,50,50
CHEM 102  B,GEN CHEM II,GENERAL CHEMISTRY II,11:00:00,11:50:00,MWF,STEM,51,62,74
CHEM 102  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,W,STEM,255,31,31
CHEM 102  M    L,LABORATORY,LABORATORY,10:05:00,12:59:00,R,STEM,255,34,34
CHEM 102  N    L,LABORATORY,LABORATORY,14:30:00,17:29:00,R,STEM,255,28,33
CHEM 102  O    L,LABORATORY,LABORATORY,14:00:00,16:59:00,F,STEM,255,19,22
CHEM 105  A,CHEM FOR ENGR,CHEMISTRY FOR ENGINEERS,12:00:00,12:50:00,MWF,STEM,51,45,54
CHEM 105  L    L,LABORATORY,LABORATORY FOR ENGINEERS,13:00:00,14:50:00,T,STEM,255,21,25
CHEM 105  M    L,LABORATORY,LABORATORY FOR ENGINEERS,15:00:00,16:59:00,T,STEM,255,24,28
CHEM 242  A,ORGANIC CHEMIST,ORGANIC CHEMISTRY II,8:00:00,8:50:00,MWF,HAL,208,24,28
